Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
2017/07/19 9:04:15 PM GMT-3;81;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;2;Desenvolvedor;Sim;17, 35, 79, 81;9
2017/07/19 9:04:24 PM GMT-3;58;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;1;Desenvolvedor;Sim;1, 54, 55, 58;1
2017/07/19 9:04:33 PM GMT-3;80;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;47, 74, 80, 85;18
2017/07/19 9:04:34 PM GMT-3;74;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;47, 74, 80, 85;18
2017/07/19 9:04:40 PM GMT-3;76;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;1;Desenvolvedor;Sim;12, 27, 63, 76;4
2017/07/19 9:04:41 PM GMT-3;55;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;1;Desenvolvedor;Sim;1, 54, 55, 58;1
2017/07/19 9:04:48 PM GMT-3;47;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;47, 74, 80, 85;18
2017/07/19 9:04:51 PM GMT-3;85;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;47, 74, 80, 85;18
2017/07/19 9:05:06 PM GMT-3;32;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;1;Desenvolvedor;Sim;30, 32, 43, 106;12
2017/07/19 9:05:11 PM GMT-3;72;S;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Sistemas de Informação;3° ano;1;Desenvolvedor;Não;;0
2017/07/19 9:05:52 PM GMT-3;31;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Sim;31, 44, 78, 120;13
2017/07/19 9:06:04 PM GMT-3;62;N;M;Escola Politécnica (Poli);Engenharia de Produção;4° ano;1;Desenvolvedor;Não;;0
2017/07/19 9:06:06 PM GMT-3;35;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;2;Desenvolvedor;Sim;17, 35, 79, 81;9
2017/07/19 9:06:10 PM GMT-3;43;S;M;Escola Politécnica (Poli);Engenharia de Computação;2° ano;1;Desenvolvedor;Sim;30, 32, 43, 106;12
2017/07/19 9:06:21 PM GMT-3;7;N;F;Escola de Comunicações e Artes (ECA);Relações Públicas;5° ano ou mais;1;Nenhuma;Não;;0
2017/07/19 9:06:37 PM GMT-3;21;N;M;Escola Politécnica (Poli);Engenharia Ambiental;5° ano ou mais;1;Negócios;Sim;21, 110;10
2017/07/19 9:07:38 PM GMT-3;104;S;M;Instituto de Química (IQ);Mestrado em Ciências;Pós-graduação;2;Negócios;Não;;0
